date,time,temperature_2m, temp_f
2026-07-17,2026-07-17T14:15,18.2, NaN
2026-07-17,2026-07-17T15:15,25.0,77.0
2026-07-17,2026-07-17T15:15,25.0,77.0
2026-07-17,2026-07-17T15:15,25.0,77.0
2026-07-18,2026-07-17T22:45,15.6,60.1
2026-07-18,2026-07-18T08:30,20.5,68.9
2026-07-18,2026-07-18T13:00,26.7,80.1
2026-07-19,2026-07-19T00:15,16.9,62.4
2026-07-19,2026-07-19T08:30,20.7,69.3
2026-07-19,2026-07-19T13:00,27.3,81.1
2026-07-20,2026-07-20T01:15,16.6,61.9
2026-07-20,2026-07-20T10:00,24.3,75.7
2026-07-21,2026-07-21T00:30,19.0,66.2
2026-07-21,2026-07-21T09:45,22.9,73.2
2026-07-21,2026-07-21T13:45,24.7,76.5
2026-07-22,2026-07-22T00:30,17.6,63.7
2026-07-22,2026-07-22T10:00,23.0,73.4
