date,max_temp,min_temp
2021-10-01,17.9,4.2
2021-10-02,19.4,5.9
2021-10-03,19.7,9.6
2021-10-04,21.6,10.6
2021-10-05,17.0,7.5
2021-10-06,17.4,6.1
2021-10-07,17.9,8.0
2021-10-08,14.6,8.7
2021-10-09,13.6,4.9
2021-10-10,14.7,1.9
2021-10-11,14.4,2.7
2021-10-12,2.1,-4.2
2021-10-13,8.6,-6.0
2021-10-14,9.6,-0.4
2022-10-01,21.8,10.9
2022-10-02,21.0,11.2
2022-10-03,17.1,8.3
2022-10-04,18.0,7.3
2022-10-05,18.1,7.4
2022-10-06,16.3,8.3
2022-10-07,17.6,8.2
2022-10-08,17.0,8.2
2022-10-09,16.6,7.1
2022-10-10,18.5,6.2
2022-10-11,19.0,7.0
2022-10-12,20.8,8.2
2022-10-13,20.6,7.3
2022-10-14,20.9,8.5
2023-10-01,13.3,3.6
2023-10-02,12.3,2.9
2023-10-03,14.2,2.5
2023-10-04,16.4,6.2
2023-10-05,18.6,7.3
2023-10-06,20.2,8.8
2023-10-07,22.0,10.7
2023-10-08,20.4,9.5
2023-10-09,20.2,9.0
2023-10-10,20.8,8.4
2023-10-11,18.1,8.9
2023-10-12,11.9,2.7
2023-10-13,15.8,3.1
2023-10-14,19.0,5.1
2024-10-01,28.5,16.7
2024-10-02,27.4,14.4
2024-10-03,27.5,13.4
2024-10-04,28.6,13.6
2024-10-05,26.7,14.4
2024-10-06,25.7,12.7
2024-10-07,26.1,15.4
2024-10-08,25.9,14.1
2024-10-09,25.3,14.3
2024-10-10,25.0,12.7
2024-10-11,26.3,12.5
2024-10-12,24.6,12.6
2024-10-13,24.8,12.0
2024-10-14,22.3,11.3
2025-10-01,20.8,7.5
2025-10-02,23.3,8.1
2025-10-03,22.9,10.4
2025-10-04,16.6,6.6
2025-10-05,18.5,4.9
2025-10-06,21.0,6.7
2025-10-07,23.3,8.9
2025-10-08,24.1,9.1
2025-10-09,21.9,11.4
2025-10-10,18.5,11.2
2025-10-11,17.3,10.2
2025-10-12,17.1,7.2
2025-10-13,15.8,7.8
2025-10-14,14.9,6.7
